X_(unit),y1,y2
134.497,110.614,
134.916,110.614,
135.335,110.614,
135.754,110.614,
136.173,110.614,
136.592,110.614,
137.011,110.405,
137.430,110.195,
137.849,109.986,
138.268,109.776,
138.687,NaN,
139.106,109.357,
139.525,109.357,
139.944,109.357,
140.363,109.357,
140.782,109.357,
141.201,109.357,
141.620,109.357,
142.039,109.357,
142.458,109.357,
142.877,109.357,
143.296,109.357,
143.715,109.148,
144.134,108.729,
144.553,108.310,
144.971,107.891,
145.390,107.472,
145.809,107.262,
146.228,107.262,
146.647,107.262,
147.066,106.843,
147.485,106.424,
147.904,106.215,
148.323,106.005,
148.742,106.005,
149.161,106.005,
149.580,106.005,
149.999,106.005,
150.418,106.005,
150.837,106.005,
151.256,106.005,
151.675,106.005,
152.094,105.586,
152.513,105.586,
152.932,105.167,
153.351,105.167,
153.770,104.748,
154.189,104.539,
154.608,104.120,
155.027,103.910,
155.446,103.910,
155.865,103.910,
156.284,103.910,
156.703,103.910,
157.122,103.910,
157.541,103.910,
157.960,103.910,
158.379,103.491,
158.798,103.282,
159.217,102.863,
159.636,102.444,
160.055,102.025,
160.474,101.606,
160.893,101.187,
161.312,100.768,
161.731,100.558,
162.150,100.139,
162.569,100.139,
162.988,100.139,
163.407,100.139,
163.826,100.139,
164.245,100.139,
164.664,100.139,
165.083,100.139,
165.502,100.139,
165.921,100.139,
166.340,100.139,
166.759,100.139,
167.178,99.930,
167.597,99.720,
168.016,99.511,
168.435,99.301,
168.854,99.301,
169.273,98.882,
169.692,98.882,
170.111,NaN,
170.530,98.882,
170.949,98.882,
171.368,98.882,
171.787,98.882,
172.206,98.882,
172.625,98.882,
173.044,98.463,
173.463,98.044,
173.882,97.625,
174.301,97.625,
174.720,97.206,
175.139,97.206,
175.558,96.787,
175.977,96.578,
176.396,95.740,
176.815,94.902,
177.234,94.273,
177.653,94.273,
178.072,93.854,
178.491,93.854,
178.910,93.435,
179.329,93.226,
179.748,92.388,
180.167,91.550,
180.586,90.921,
181.005,89.874,
181.424,89.036,
181.843,88.617,
182.262,88.407,
182.681,87.988,
183.100,87.988,
183.519,87.569,
183.938,87.360,
184.357,86.313,
184.776,85.056,
185.195,84.008,
185.614,83.589,
186.033,83.170,
186.452,82.751,
186.871,82.332,
187.290,81.913,
187.709,81.075,
188.128,80.237,
188.547,79.609,
188.966,78.980,
189.385,78.561,
189.804,78.142,
190.223,77.723,
190.642,77.304,
191.061,76.676,
191.480,75.419,
191.899,74.162,
192.318,73.533,
192.737,73.324,
193.156,72.905,
193.575,72.905,
193.994,72.486,
194.413,72.276,
194.832,71.229,
195.251,69.972,
195.670,68.924,
196.089,68.086,
196.508,67.248,
196.927,66.410,
197.346,65.991,
197.765,65.572,
198.184,65.153,
198.603,64.734,
199.022,64.315,
199.441,63.477,
199.860,62.639,
200.279,62.011,
200.698,61.382,
201.117,60.963,
201.536,60.544,
201.955,60.125,
202.374,59.706,
202.793,59.287,
203.212,58.449,
203.630,57.612,
204.049,56.983,
204.468,56.983,
204.887,56.564,
205.306,56.564,
205.725,56.145,
206.144,55.936,
206.563,55.517,
206.982,55.307,
207.401,54.888,
207.820,54.469,
208.239,54.469,
208.658,54.050,
209.077,54.050,
209.496,NaN,
209.915,53.631,
210.334,53.631,
210.753,53.631,
211.172,53.631,
211.591,53.631,
212.010,53.631,
212.429,53.631,
212.848,53.631,
213.267,53.631,
213.686,53.631,
214.105,53.631,
214.524,53.631,
214.943,53.631,
215.362,53.631,
215.781,53.631,
216.200,53.631,
216.619,53.631,
217.038,53.631,
217.457,53.631,
217.876,54.050,
218.295,54.469,
218.714,54.888,
219.133,54.888,
219.552,54.888,
219.971,54.888,
220.390,54.888,
220.809,54.888,
221.228,55.098,
221.647,55.936,
222.066,56.774,
222.485,57.402,
222.904,57.821,
223.323,58.240,
223.742,58.659,
224.161,59.078,
224.580,59.497,
224.999,59.916,
225.418,60.335,
225.837,60.963,
226.256,62.011,
226.675,63.268,
227.094,64.315,
227.513,65.153,
227.932,65.572,
228.351,66.410,
228.770,66.829,
229.189,67.667,
229.608,68.715,
230.027,69.972,
230.446,71.019,
230.865,71.857,
231.284,72.695,
231.703,73.533,
232.122,74.371,
232.541,75.209,
232.960,76.047,
233.379,76.885,
233.798,77.723,
234.217,78.561,
234.636,79.190,
235.055,79.818,
235.474,80.447,
235.893,81.075,
236.312,81.913,
236.731,82.961,
237.150,84.218,
237.569,85.265,
237.988,85.684,
238.407,86.103,
238.826,86.522,
239.245,86.941,
239.664,87.360,
240.083,88.407,
240.502,89.664,
240.921,90.712,
241.340,92.178,
241.759,93.435,
242.178,94.483,
242.597,94.902,
243.016,95.321,
243.435,95.740,
243.854,96.159,
244.273,96.578,
244.692,97.416,
245.111,98.254,
245.530,98.882,
245.949,99.301,
246.368,99.301,
246.787,99.720,
247.206,99.720,
247.625,100.139,
248.044,100.768,
248.463,101.815,
248.882,103.072,
249.301,103.701,
249.720,103.910,
250.139,103.910,
250.558,103.910,
250.977,103.910,
251.396,103.910,
251.815,104.539,
252.234,105.377,
252.653,106.005,
253.072,106.424,
253.491,106.424,
253.910,106.843,
254.329,106.843,
254.748,107.262,
255.167,107.891,
255.586,108.729,
256.005,109.357,
256.424,109.357,
256.843,109.357,
257.262,109.357,
257.681,109.357,
258.100,109.357,
258.519,109.357,
258.938,109.357,
259.357,109.357,
259.776,109.776,
260.195,110.195,
260.613,110.614,
261.033,110.614,
261.452,110.614,
261.870,110.614,
262.289,110.614,
262.708,110.614,
263.127,110.614,
263.546,110.614,
263.965,110.614,
